Source	Precision	Recall	F1	Average Matching Quality	Overall Matching Quality
OCR REPUTE PARFAIT (sans entrée tronquée)	1.0000	1.0000	1.0000	0.9592	0.9860
CORPUSENSE, ZONES MANUELLES (sans entrée tronquée)	1.0000	0.9565	0.9778	0.9923	0.9826
OCR BRUT (via CORPUSENSE) (sans entrée tronquée)	1.0000	0.9130	0.9545	0.9568	0.9553
OCR REPUTE PARFAIT (complet)	1.0000	1.0000	1.0000	0.9592	0.9860
CORPUSENSE ZONES MANUELLES (complet)	1.0000	0.9565	0.9778	0.9923	0.9826
OCR BRUT (complet)	1.0000	0.9565	0.9778	0.9471	0.9673
OCR BRUITE ARTIFICIELLEMENT	1.0000	0.9130	0.9545	0.9246	0.9444
